# theta(rad)  log10(N_S)  adv_dB
0.000000  -3.000000  0.00433211
0.000000  -2.958333  0.00476714
0.000000  -2.916667  0.00524571
0.000000  -2.875000  0.00577217
0.000000  -2.833333  0.00635127
0.000000  -2.791667  0.00698823
0.000000  -2.750000  0.00768879
0.000000  -2.708333  0.00845924
0.000000  -2.666667  0.00930647
0.000000  -2.625000  0.01023805
0.000000  -2.583333  0.01126228
0.000000  -2.541667  0.01238824
0.000000  -2.500000  0.01362589
0.000000  -2.458333  0.01498610
0.000000  -2.416667  0.01648080
0.000000  -2.375000  0.01812301
0.000000  -2.333333  0.01992697
0.000000  -2.291667  0.02190820
0.000000  -2.250000  0.02408366
0.000000  -2.208333  0.02647180
0.000000  -2.166667  0.02909273
0.000000  -2.125000  0.03196832
0.000000  -2.083333  0.03512229
0.000000  -2.041667  0.03858040
0.000000  -2.000000  0.04237053
0.000000  -1.958333  0.04652281
0.000000  -1.916667  0.05106977
0.000000  -1.875000  0.05604643
0.000000  -1.833333  0.06149039
0.000000  -1.791667  0.06744197
0.000000  -1.750000  0.07394422
0.000000  -1.708333  0.08104302
0.000000  -1.666667  0.08878702
0.000000  -1.625000  0.09722767
0.000000  -1.583333  0.10641910
0.000000  -1.541667  0.11641794
0.000000  -1.500000  0.12728318
0.000000  -1.458333  0.13907579
0.000000  -1.416667  0.15185834
0.000000  -1.375000  0.16569448
0.000000  -1.333333  0.18064832
0.000000  -1.291667  0.19678365
0.000000  -1.250000  0.21416304
0.000000  -1.208333  0.23284678
0.000000  -1.166667  0.25289171
0.000000  -1.125000  0.27434987
0.000000  -1.083333  0.29726706
0.000000  -1.041667  0.32168127
0.000000  -1.000000  0.34762106
0.000000  -0.958333  0.37510388
0.000000  -0.916667  0.40413440
0.000000  -0.875000  0.43470300
0.000000  -0.833333  0.46678427
0.000000  -0.791667  0.50033582
0.000000  -0.750000  0.53529736
0.000000  -0.708333  0.57159014
0.000000  -0.666667  0.60911680
0.000000  -0.625000  0.64776176
0.000000  -0.583333  0.68739207
0.000000  -0.541667  0.72785880
0.000000  -0.500000  0.76899903
0.000000  -0.458333  0.81063820
0.000000  -0.416667  0.85259296
0.000000  -0.375000  0.89467433
0.000000  -0.333333  0.93669105
0.000000  -0.291667  0.97845302
0.000000  -0.250000  1.01977470
0.000000  -0.208333  1.06047836
0.000000  -0.166667  1.10039702
0.000000  -0.125000  1.13937697
0.000000  -0.083333  1.17727991
0.000000  -0.041667  1.21398448
0.000000  0.000000  1.24938737
0.000000  0.041667  1.28340377
0.000000  0.083333  1.31596745
0.000000  0.125000  1.34703029
0.000000  0.166667  1.37656152
0.000000  0.208333  1.40454651
0.000000  0.250000  1.43098548
0.000000  0.291667  1.45589192
0.000000  0.333333  1.47929096
0.000000  0.375000  1.50121771
0.000000  0.416667  1.52171562
0.000000  0.458333  1.54083486
0.000000  0.500000  1.55863088
0.000000  0.541667  1.57516297
0.000000  0.583333  1.59049310
0.000000  0.625000  1.60468477
0.000000  0.666667  1.61780206
0.000000  0.708333  1.62990885
0.000000  0.750000  1.64106814
0.000000  0.791667  1.65134145
0.000000  0.833333  1.66078845
0.000000  0.875000  1.66946658
0.000000  0.916667  1.67743078
0.000000  0.958333  1.68473340
0.000000  1.000000  1.69142399
0.000000  1.041667  1.69754934
0.000000  1.083333  1.70315341
0.000000  1.125000  1.70827739
0.000000  1.166667  1.71295977
0.000000  1.208333  1.71723639
0.000000  1.250000  1.72114058
0.000000  1.291667  1.72470322
0.000000  1.333333  1.72795293
0.000000  1.375000  1.73091612
0.000000  1.416667  1.73361717
0.000000  1.458333  1.73607854
0.000000  1.500000  1.73832088
0.000000  1.541667  1.74036319
0.000000  1.583333  1.74222288
0.000000  1.625000  1.74391593
0.000000  1.666667  1.74545700
0.000000  1.708333  1.74685948
0.000000  1.750000  1.74813564
0.000000  1.791667  1.74929669
0.000000  1.833333  1.75035288
0.000000  1.875000  1.75131357
0.000000  1.916667  1.75218730
0.000000  1.958333  1.75298187
0.000000  2.000000  1.75370438

0.052360  -3.000000  0.00432618
0.052360  -2.958333  0.00476061
0.052360  -2.916667  0.00523853
0.052360  -2.875000  0.00576426
0.052360  -2.833333  0.00634257
0.052360  -2.791667  0.00697866
0.052360  -2.750000  0.00767826
0.052360  -2.708333  0.00844765
0.052360  -2.666667  0.00929373
0.052360  -2.625000  0.01022404
0.052360  -2.583333  0.01124687
0.052360  -2.541667  0.01237129
0.052360  -2.500000  0.01360724
0.052360  -2.458333  0.01496560
0.052360  -2.416667  0.01645826
0.052360  -2.375000  0.01809823
0.052360  -2.333333  0.01989972
0.052360  -2.291667  0.02187825
0.052360  -2.250000  0.02405074
0.052360  -2.208333  0.02643563
0.052360  -2.166667  0.02905300
0.052360  -2.125000  0.03192467
0.052360  -2.083333  0.03507435
0.052360  -2.041667  0.03852776
0.052360  -2.000000  0.04231274
0.052360  -1.958333  0.04645939
0.052360  -1.916667  0.05100019
0.052360  -1.875000  0.05597011
0.052360  -1.833333  0.06140671
0.052360  -1.791667  0.06735025
0.052360  -1.750000  0.07384374
0.052360  -1.708333  0.08093298
0.052360  -1.666667  0.08866658
0.052360  -1.625000  0.09709591
0.052360  -1.583333  0.10627502
0.052360  -1.541667  0.11626051
0.052360  -1.500000  0.12711128
0.052360  -1.458333  0.13888821
0.052360  -1.416667  0.15165382
0.052360  -1.375000  0.16547168
0.052360  -1.333333  0.18040582
0.052360  -1.291667  0.19651998
0.052360  -1.250000  0.21387665
0.052360  -1.208333  0.23253606
0.052360  -1.166667  0.25255501
0.052360  -1.125000  0.27398550
0.052360  -1.083333  0.29687328
0.052360  -1.041667  0.32125633
0.052360  -1.000000  0.34716320
0.052360  -0.958333  0.37461135
0.052360  -0.916667  0.40360551
0.052360  -0.875000  0.43413606
0.052360  -0.833333  0.46617770
0.052360  -0.791667  0.49968810
0.052360  -0.750000  0.53460711
0.052360  -0.708333  0.57085609
0.052360  -0.666667  0.60833786
0.052360  -0.625000  0.64693698
0.052360  -0.583333  0.68652070
0.052360  -0.541667  0.72694031
0.052360  -0.500000  0.76803307
0.052360  -0.458333  0.80962465
0.052360  -0.416667  0.85153192
0.052360  -0.375000  0.89356612
0.052360  -0.333333  0.93553619
0.052360  -0.291667  0.97725224
0.052360  -0.250000  1.01852891
0.052360  -0.208333  1.05918866
0.052360  -0.166667  1.09906465
0.052360  -0.125000  1.13800331
0.052360  -0.083333  1.17586645
0.052360  -0.041667  1.21253281
0.052360  0.000000  1.24789915
0.052360  0.041667  1.28188071
0.052360  0.083333  1.31441129
0.052360  0.125000  1.34544280
0.052360  0.166667  1.37494443
0.052360  0.208333  1.40290157
0.052360  0.250000  1.42931439
0.052360  0.291667  1.45419634
0.052360  0.333333  1.47757250
0.052360  0.375000  1.49947792
0.052360  0.416667  1.51995598
0.052360  0.458333  1.53905680
0.052360  0.500000  1.55683574
0.052360  0.541667  1.57335203
0.052360  0.583333  1.58866757
0.052360  0.625000  1.60284576
0.052360  0.666667  1.61595064
0.052360  0.708333  1.62804602
0.052360  0.750000  1.63919480
0.052360  0.791667  1.64945848
0.052360  0.833333  1.65889663
0.052360  0.875000  1.66756664
0.052360  0.916667  1.67552342
0.052360  0.958333  1.68281924
0.052360  1.000000  1.68950361
0.052360  1.041667  1.69562328
0.052360  1.083333  1.70122215
0.052360  1.125000  1.70634139
0.052360  1.166667  1.71101944
0.052360  1.208333  1.71529211
0.052360  1.250000  1.71919269
0.052360  1.291667  1.72275205
0.052360  1.333333  1.72599876
0.052360  1.375000  1.72895923
0.052360  1.416667  1.73165779
0.052360  1.458333  1.73411690
0.052360  1.500000  1.73635718
0.052360  1.541667  1.73839761
0.052360  1.583333  1.74025559
0.052360  1.625000  1.74194709
0.052360  1.666667  1.74348675
0.052360  1.708333  1.74488794
0.052360  1.750000  1.74616293
0.052360  1.791667  1.74732292
0.052360  1.833333  1.74837814
0.052360  1.875000  1.74933795
0.052360  1.916667  1.75021088
0.052360  1.958333  1.75100472
0.052360  2.000000  1.75172657

0.104720  -3.000000  0.00430839
0.104720  -2.958333  0.00474104
0.104720  -2.916667  0.00521699
0.104720  -2.875000  0.00574057
0.104720  -2.833333  0.00631650
0.104720  -2.791667  0.00694998
0.104720  -2.750000  0.00764671
0.104720  -2.708333  0.00841294
0.104720  -2.666667  0.00925554
0.104720  -2.625000  0.01018203
0.104720  -2.583333  0.01120067
0.104720  -2.541667  0.01232048
0.104720  -2.500000  0.01355136
0.104720  -2.458333  0.01490415
0.104720  -2.416667  0.01639069
0.104720  -2.375000  0.01802394
0.104720  -2.333333  0.01981805
0.104720  -2.291667  0.02178849
0.104720  -2.250000  0.02395209
0.104720  -2.208333  0.02632722
0.104720  -2.166667  0.02893389
0.104720  -2.125000  0.03179383
0.104720  -2.083333  0.03493066
0.104720  -2.041667  0.03836999
0.104720  -2.000000  0.04213954
0.104720  -1.958333  0.04626931
0.104720  -1.916667  0.05079164
0.104720  -1.875000  0.05574136
0.104720  -1.833333  0.06115590
0.104720  -1.791667  0.06707535
0.104720  -1.750000  0.07354256
0.104720  -1.708333  0.08060315
0.104720  -1.666667  0.08830555
0.104720  -1.625000  0.09670094
0.104720  -1.583333  0.10584317
0.104720  -1.541667  0.11578862
0.104720  -1.500000  0.12659598
0.104720  -1.458333  0.13832593
0.104720  -1.416667  0.15104074
0.104720  -1.375000  0.16480380
0.104720  -1.333333  0.17967891
0.104720  -1.291667  0.19572958
0.104720  -1.250000  0.21301814
0.104720  -1.208333  0.23160464
0.104720  -1.166667  0.25154570
0.104720  -1.125000  0.27289319
0.104720  -1.083333  0.29569280
0.104720  -1.041667  0.31998242
0.104720  -1.000000  0.34579059
0.104720  -0.958333  0.37313481
0.104720  -0.916667  0.40201988
0.104720  -0.875000  0.43243636
0.104720  -0.833333  0.46435913
0.104720  -0.791667  0.49774615
0.104720  -0.750000  0.53253759
0.104720  -0.708333  0.56865522
0.104720  -0.666667  0.60600231
0.104720  -0.625000  0.64446396
0.104720  -0.583333  0.68390795
0.104720  -0.541667  0.72418618
0.104720  -0.500000  0.76513655
0.104720  -0.458333  0.80658537
0.104720  -0.416667  0.84835017
0.104720  -0.375000  0.89024283
0.104720  -0.333333  0.93207294
0.104720  -0.291667  0.97365120
0.104720  -0.250000  1.01479283
0.104720  -0.208333  1.05532080
0.104720  -0.166667  1.09506874
0.104720  -0.125000  1.13388348
0.104720  -0.083333  1.17162718
