# log10(N_S)  theta=0.000  theta=0.524  theta=0.785  theta=1.047  theta=1.571
-3.000000  0.00433211  0.00375197  0.00306372  0.00216660  0.00000000
-2.975000  0.00458813  0.00397372  0.00324480  0.00229467  0.00000000
-2.950000  0.00485923  0.00420854  0.00343656  0.00243030  0.00000000
-2.925000  0.00514631  0.00445719  0.00363962  0.00257392  0.00000000
-2.900000  0.00545029  0.00472049  0.00385465  0.00272600  0.00000000
-2.875000  0.00577217  0.00499929  0.00408233  0.00288704  0.00000000
-2.850000  0.00611299  0.00529450  0.00432343  0.00305757  0.00000000
-2.825000  0.00647385  0.00560708  0.00457871  0.00323813  0.00000000
-2.800000  0.00685594  0.00593805  0.00484900  0.00342932  0.00000000
-2.775000  0.00726048  0.00628847  0.00513519  0.00363176  0.00000000
-2.750000  0.00768879  0.00665948  0.00543820  0.00384610  0.00000000
-2.725000  0.00814224  0.00705227  0.00575902  0.00407303  0.00000000
-2.700000  0.00862231  0.00746813  0.00609866  0.00431329  0.00000000
-2.675000  0.00913053  0.00790838  0.00645824  0.00456766  0.00000000
-2.650000  0.00966853  0.00837444  0.00683891  0.00483696  0.00000000
-2.625000  0.01023805  0.00886781  0.00724190  0.00512204  0.00000000
-2.600000  0.01084091  0.00939007  0.00766848  0.00542384  0.00000000
-2.575000  0.01147903  0.00994289  0.00812004  0.00574331  0.00000000
-2.550000  0.01215445  0.01052803  0.00859802  0.00608148  0.00000000
-2.525000  0.01286931  0.01114736  0.00910393  0.00643942  0.00000000
-2.500000  0.01362589  0.01180284  0.00963938  0.00681829  0.00000000
-2.475000  0.01442657  0.01249655  0.01020608  0.00721927  0.00000000
-2.450000  0.01527388  0.01323068  0.01080582  0.00764366  0.00000000
-2.425000  0.01617049  0.01400755  0.01144050  0.00809277  0.00000000
-2.400000  0.01711922  0.01482959  0.01211210  0.00856804  0.00000000
-2.375000  0.01812301  0.01569937  0.01282273  0.00907096  0.00000000
-2.350000  0.01918501  0.01661962  0.01357462  0.00960310  0.00000000
-2.325000  0.02030851  0.01759319  0.01437011  0.01016613  0.00000000
-2.300000  0.02149698  0.01862310  0.01521167  0.01076179  0.00000000
-2.275000  0.02275408  0.01971252  0.01610190  0.01139194  0.00000000
-2.250000  0.02408366  0.02086479  0.01704354  0.01205852  0.00000000
-2.225000  0.02548977  0.02208346  0.01803947  0.01276359  0.00000000
-2.200000  0.02697669  0.02337220  0.01909274  0.01350929  0.00000000
-2.175000  0.02854890  0.02473494  0.02020654  0.01429791  0.00000000
-2.150000  0.03021112  0.02617577  0.02138423  0.01513183  0.00000000
-2.125000  0.03196832  0.02769900  0.02262936  0.01601357  0.00000000
-2.100000  0.03382569  0.02930916  0.02394563  0.01694578  0.00000000
-2.075000  0.03578872  0.03101102  0.02533695  0.01793123  0.00000000
-2.050000  0.03786314  0.03280955  0.02680743  0.01897283  0.00000000
-2.025000  0.04005498  0.03471001  0.02836135  0.02007367  0.00000000
-2.000000  0.04237053  0.03671788  0.03000324  0.02123694  0.00000000
-1.975000  0.04481641  0.03883892  0.03173781  0.02246602  0.00000000
-1.950000  0.04739955  0.04107914  0.03357003  0.02376444  0.00000000
-1.925000  0.05012716  0.04344487  0.03550507  0.02513590  0.00000000
-1.900000  0.05300682  0.04594268  0.03754837  0.02658428  0.00000000
-1.875000  0.05604643  0.04857946  0.03970557  0.02811362  0.00000000
-1.850000  0.05925421  0.05136239  0.04198261  0.02972816  0.00000000
-1.825000  0.06263876  0.05429898  0.04438566  0.03143231  0.00000000
-1.800000  0.06620901  0.05739703  0.04692115  0.03323068  0.00000000
-1.775000  0.06997428  0.06066465  0.04959578  0.03512807  0.00000000
-1.750000  0.07394422  0.06411031  0.05241653  0.03712948  0.00000000
-1.725000  0.07812886  0.06774276  0.05539063  0.03924012  0.00000000
-1.700000  0.08253860  0.07157110  0.05852561  0.04146538  0.00000000
-1.675000  0.08718418  0.07560475  0.06182926  0.04381086  0.00000000
-1.650000  0.09207671  0.07985344  0.06530963  0.04628237  0.00000000
-1.625000  0.09722767  0.08432722  0.06897505  0.04888592  0.00000000
-1.600000  0.10264886  0.08903646  0.07283412  0.05162770  0.00000000
-1.575000  0.10835242  0.09399182  0.07689569  0.05451411  0.00000000
-1.550000  0.11435078  0.09920423  0.08116886  0.05755174  0.00000000
-1.525000  0.12065670  0.10468492  0.08566296  0.06074735  0.00000000
-1.500000  0.12728318  0.11044534  0.09038753  0.06410788  0.00000000
-1.475000  0.13424349  0.11649719  0.09535234  0.06764042  0.00000000
-1.450000  0.14155108  0.12285236  0.10056733  0.07135222  0.00000000
-1.425000  0.14921959  0.12952291  0.10604258  0.07525065  0.00000000
-1.400000  0.15726278  0.13652102  0.11178832  0.07934318  0.00000000
-1.375000  0.16569448  0.14385897  0.11781486  0.08363740  0.00000000
-1.350000  0.17452856  0.15154908  0.12413257  0.08814094  0.00000000
-1.325000  0.18377885  0.15960367  0.13075186  0.09286146  0.00000000
-1.300000  0.19345904  0.16803497  0.13768307  0.09780665  0.00000000
-1.275000  0.20358268  0.17685510  0.14493649  0.10298414  0.00000000
-1.250000  0.21416304  0.18607597  0.15252227  0.10840151  0.00000000
-1.225000  0.22521303  0.19570921  0.16045033  0.11406622  0.00000000
-1.200000  0.23674513  0.20576608  0.16873037  0.11998556  0.00000000
-1.175000  0.24877125  0.21625742  0.17737171  0.12616664  0.00000000
-1.150000  0.26130266  0.22719351  0.18638330  0.13261627  0.00000000
-1.125000  0.27434987  0.23858398  0.19577355  0.13934096  0.00000000
-1.100000  0.28792248  0.25043775  0.20555033  0.14634684  0.00000000
-1.075000  0.30202908  0.26276286  0.21572081  0.15363958  0.00000000
-1.050000  0.31667715  0.27556639  0.22629142  0.16122435  0.00000000
-1.025000  0.33187288  0.28885436  0.23726773  0.16910574  0.00000000
-1.000000  0.34762106  0.30263159  0.24865433  0.17728767  0.00000000
-0.975000  0.36392498  0.31690157  0.26045480  0.18577335  0.00000000
-0.950000  0.38078626  0.33166639  0.27267152  0.19456517  0.00000000
-0.925000  0.39820472  0.34692660  0.28530566  0.20366469  0.00000000
-0.900000  0.41617833  0.36268110  0.29835704  0.21307248  0.00000000
-0.875000  0.43470300  0.37892704  0.31182404  0.22278813  0.00000000
-0.850000  0.45377256  0.39565974  0.32570352  0.23281014  0.00000000
-0.825000  0.47337862  0.41287256  0.33999076  0.24313587  0.00000000
-0.800000  0.49351052  0.43055688  0.35467937  0.25376150  0.00000000
-0.775000  0.51415523  0.44870200  0.36976124  0.26468194  0.00000000
-0.750000  0.53529736  0.46729512  0.38522650  0.27589084  0.00000000
-0.725000  0.55691910  0.48632128  0.40106347  0.28738053  0.00000000
-0.700000  0.57900020  0.50576339  0.41725866  0.29914198  0.00000000
-0.675000  0.60151805  0.52560218  0.43379674  0.31116484  0.00000000
-0.650000  0.62444766  0.54581630  0.45066062  0.32343740  0.00000000
-0.625000  0.64776176  0.56638231  0.46783139  0.33594663  0.00000000
-0.600000  0.67143090  0.58727478  0.48528845  0.34867817  0.00000000
-0.575000  0.69542353  0.60846641  0.50300956  0.36161644  0.00000000
-0.550000  0.71970618  0.62992808  0.52097091  0.37474464  0.00000000
-0.525000  0.74424362  0.65162908  0.53914723  0.38804482  0.00000000
-0.500000  0.76899903  0.67353718  0.55751197  0.40149802  0.00000000
-0.475000  0.79393423  0.69561888  0.57603735  0.41508431  0.00000000
-0.450000  0.81900989  0.71783956  0.59469463  0.42878292  0.00000000
-0.425000  0.84418578  0.74016372  0.61345418  0.44257238  0.00000000
-0.400000  0.86942101  0.76255519  0.63228573  0.45643062  0.00000000
-0.375000  0.89467433  0.78497734  0.65115852  0.47033512  0.00000000
-0.350000  0.91990436  0.80739338  0.67004156  0.48426307  0.00000000
