# theta(rad)  N(theta)  |N(theta)|
0.000000  1.00000000  1.00000000
0.015708  0.99987663  0.99987663
0.031416  0.99950656  0.99950656
0.047124  0.99888987  0.99888987
0.062832  0.99802673  0.99802673
0.078540  0.99691733  0.99691733
0.094248  0.99556196  0.99556196
0.109956  0.99396096  0.99396096
0.125664  0.99211470  0.99211470
0.141372  0.99002366  0.99002366
0.157080  0.98768834  0.98768834
0.172788  0.98510933  0.98510933
0.188496  0.98228725  0.98228725
0.204204  0.97922281  0.97922281
0.219911  0.97591676  0.97591676
0.235619  0.97236992  0.97236992
0.251327  0.96858316  0.96858316
0.267035  0.96455742  0.96455742
0.282743  0.96029369  0.96029369
0.298451  0.95579301  0.95579301
0.314159  0.95105652  0.95105652
0.329867  0.94608536  0.94608536
0.345575  0.94088077  0.94088077
0.361283  0.93544403  0.93544403
0.376991  0.92977649  0.92977649
0.392699  0.92387953  0.92387953
0.408407  0.91775463  0.91775463
0.424115  0.91140328  0.91140328
0.439823  0.90482705  0.90482705
0.455531  0.89802758  0.89802758
0.471239  0.89100652  0.89100652
0.486947  0.88376563  0.88376563
0.502655  0.87630668  0.87630668
0.518363  0.86863151  0.86863151
0.534071  0.86074203  0.86074203
0.549779  0.85264016  0.85264016
0.565487  0.84432793  0.84432793
0.581195  0.83580736  0.83580736
0.596903  0.82708057  0.82708057
0.612611  0.81814972  0.81814972
0.628319  0.80901699  0.80901699
0.644026  0.79968466  0.79968466
0.659734  0.79015501  0.79015501
0.675442  0.78043041  0.78043041
0.691150  0.77051324  0.77051324
0.706858  0.76040597  0.76040597
0.722566  0.75011107  0.75011107
0.738274  0.73963109  0.73963109
0.753982  0.72896863  0.72896863
0.769690  0.71812630  0.71812630
0.785398  0.70710678  0.70710678
0.801106  0.69591280  0.69591280
0.816814  0.68454711  0.68454711
0.832522  0.67301251  0.67301251
0.848230  0.66131187  0.66131187
0.863938  0.64944805  0.64944805
0.879646  0.63742399  0.63742399
0.895354  0.62524266  0.62524266
0.911062  0.61290705  0.61290705
0.926770  0.60042023  0.60042023
0.942478  0.58778525  0.58778525
