# x1  y1  x2  y2  source_idx  target_idx  source_label  target_label
8  -4  8  -6  1  0  N(L,N(L,N(N(L,L),L)))  N(L,N(L,N(L,N(L,L))))
8  -3  8  -6  2  0  N(L,N(N(L,L),N(L,L)))  N(L,N(L,N(L,N(L,L))))
8  -2  8  -4  3  1  N(L,N(N(L,N(L,L)),L))  N(L,N(L,N(N(L,L),L)))
8  0  8  -3  4  2  N(L,N(N(N(L,L),L),L))  N(L,N(N(L,L),N(L,L)))
8  0  8  -2  4  3  N(L,N(N(N(L,L),L),L))  N(L,N(N(L,N(L,L)),L))
8  -2  8  -6  5  0  N(N(L,L),N(L,N(L,L)))  N(L,N(L,N(L,N(L,L))))
8  0  8  -4  6  1  N(N(L,L),N(N(L,L),L))  N(L,N(L,N(N(L,L),L)))
8  0  8  -2  6  5  N(N(L,L),N(N(L,L),L))  N(N(L,L),N(L,N(L,L)))
8  0  8  -3  7  2  N(N(L,N(L,L)),N(L,L))  N(L,N(N(L,L),N(L,L)))
8  2  8  -2  8  5  N(N(N(L,L),L),N(L,L))  N(N(L,L),N(L,N(L,L)))
8  2  8  0  8  7  N(N(N(L,L),L),N(L,L))  N(N(L,N(L,L)),N(L,L))
8  0  8  -2  9  3  N(N(L,N(L,N(L,L))),L)  N(L,N(N(L,N(L,L)),L))
8  2  8  0  10  4  N(N(L,N(N(L,L),L)),L)  N(L,N(N(N(L,L),L),L))
8  2  8  0  10  9  N(N(L,N(N(L,L),L)),L)  N(N(L,N(L,N(L,L))),L)
8  3  8  0  11  6  N(N(N(L,L),N(L,L)),L)  N(N(L,L),N(N(L,L),L))
8  3  8  0  11  9  N(N(N(L,L),N(L,L)),L)  N(N(L,N(L,N(L,L))),L)
8  4  8  0  12  7  N(N(N(L,N(L,L)),L),L)  N(N(L,N(L,L)),N(L,L))
8  4  8  2  12  10  N(N(N(L,N(L,L)),L),L)  N(N(L,N(N(L,L),L)),L)
8  6  8  2  13  8  N(N(N(N(L,L),L),L),L)  N(N(N(L,L),L),N(L,L))
8  6  8  3  13  11  N(N(N(N(L,L),L),L),L)  N(N(N(L,L),N(L,L)),L)
8  6  8  4  13  12  N(N(N(N(L,L),L),L),L)  N(N(N(L,N(L,L)),L),L)
